"iteration","scenario","ratio","method","beta","se","p_value","n_matched_cases","n_discordant","matched_mac","ratio_label"
10,"Positive control",4,"Standard GWAS",0.615948462619799,0.131363704594877,2.74706297601591e-06,,,,"1:4"
10,"Positive control",4,"PC-adjusted GWAS",0.420174465440882,0.13217344508051,0.0014780305718601,,,,"1:4"
10,"Positive control",4,"Matching + CLR",0.425330192643906,0.173584518841222,0.0135546660648155,2500,161,171,"1:4"
10,"Positive control",6,"Oracle GWAS",0.381084626891769,0.132174399546646,0.00393663106304762,,,,"1:6"
10,"Positive control",6,"Standard GWAS",0.615948462619799,0.131363704594877,2.74706297601591e-06,,,,"1:6"
10,"Positive control",6,"PC-adjusted GWAS",0.420174465440882,0.13217344508051,0.0014780305718601,,,,"1:6"
10,"Positive control",6,"Matching + CLR",0.368420206374059,0.163746029903858,0.0236259577283978,2500,224,243,"1:6"
11,"Negative control",1,"Oracle GWAS",-0.089617778949008,0.117744685252455,0.446585679165905,,,,"1:1"
11,"Negative control",1,"Standard GWAS",0.62563550146417,0.116710729532212,8.29618738006848e-08,,,,"1:1"
11,"Negative control",1,"PC-adjusted GWAS",-0.0132692400394913,0.11972833052543,0.911752816680973,,,,"1:1"
11,"Negative control",1,"Matching + CLR",0.125183498205801,0.204573770520499,0.54029137460742,2500,93,98,"1:1"
11,"Negative control",4,"Oracle GWAS",-0.089617778949008,0.117744685252455,0.446585679165905,,,,"1:4"
11,"Negative control",4,"Standard GWAS",0.62563550146417,0.116710729532212,8.29618738006848e-08,,,,"1:4"
